City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
143,Challans,FR,71.6,scattered clouds,46.84,-1.87,Citotel Le Challans
144,Svetlaya,RU,62.96,overcast clouds,46.54,138.33,
145,Mar Del Plata,AR,64.4,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
146,North Bend,US,62.01,fog,43.41,-124.22,Red Lion Hotel Coos Bay
147,Mendi,PG,53.37,overcast clouds,-6.18,143.65,Kiburu Lodge
148,Havre-Saint-Pierre,CA,66.2,scattered clouds,50.23,-63.6,Auberge Niapiskau
149,Los Llanos De Aridane,ES,81.0,few clouds,28.66,-17.92,Valle Aridane
150,Georgetown,MY,84.0,few clouds,5.41,100.34,Cititel Penang
151,Kununurra,AU,62.6,clear sky,-15.77,128.73,Hotel Kununurra
153,Atambua,ID,67.23,scattered clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
154,Karratha,AU,74.26,few clouds,-20.74,116.85,ibis Styles Karratha
155,Labuan,MY,77.0,few clouds,5.28,115.24,Tiara Labuan Hotel
156,Anderson,US,80.01,broken clouds,34.53,-82.65,The Bleckley Inn
157,Port Shepstone,ZA,64.96,clear sky,-30.74,30.45,My Den Beachfront B&B And Self-Catering
159,Kadhan,PK,82.58,light rain,24.48,68.99,Arshad Communication
160,Takoradi,GH,77.31,broken clouds,4.88,-1.76,Raybow International Hotel
161,Lagoa,PT,73.78,scattered clouds,39.05,-27.98,Casa Das Faias
162,Cordoba,AR,71.6,clear sky,-31.41,-64.18,Sheraton Cordoba Hotel
164,Khani,GE,69.8,thunderstorm,41.96,42.96,კურორტი ზეკარი/Resort Zekari
165,Glendive,US,72.0,haze,47.11,-104.71,Super 8 by Wyndham Glendive
166,Bonavista,CA,66.0,clear sky,48.65,-53.11,Abbott's Bed & Breakfast
167,Lazaro Cardenas,MX,83.98,light rain,17.96,-102.2,Collection O Hotel Quinta Antigua
168,Skibbereen,IE,62.6,broken clouds,51.55,-9.27,The West Cork Hotel
170,Geneva,US,84.99,clear sky,41.89,-88.31,Best Western Inn of St. Charles
171,Lubango,AO,68.83,broken clouds,-14.92,13.49,Hotel Serra da Chela
172,Canelli,IT,84.99,clear sky,44.72,8.29,Residenza San Vito
174,Norman Wells,CA,57.2,few clouds,65.28,-126.83,Heritage Hotel
175,Hithadhoo,MV,82.45,moderate rain,-0.6,73.08,Scoop Guest House
176,Tabuk,PH,74.98,overcast clouds,17.42,121.44,Grand Zion Garden Resort Hotel
177,Tha Chang,TH,78.22,scattered clouds,9.26,99.19,สุริยาค้าไม้
178,Kundiawa,PG,60.62,overcast clouds,-6.02,144.97,Kundiawa Hotel
179,Baruun-Urt,MN,56.82,scattered clouds,46.68,113.28,Ахмадын амралт сувилал
180,Marica,BR,71.6,broken clouds,-22.92,-42.82,Marica Hills
181,Vanimo,PG,77.76,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
182,Bandarbeyla,SO,77.29,broken clouds,9.49,50.81,REER XOOSHLE GROUP
183,Husavik,IS,51.8,overcast clouds,66.04,-17.34,Bjarnabúð
184,Dali,CN,63.05,clear sky,25.7,100.18,Dali Travelling With Hostel
185,Toyooka,JP,74.73,few clouds,35.53,134.83,O Hotel Toyooka
186,San Joaquin,VE,79.83,light rain,10.26,-67.79,"Rancho (Hacienda) ""La Quinta"""
187,Bathsheba,BB,86.0,shower rain,13.22,-59.52,Atlantis Hotel
188,Vila Velha,BR,71.6,broken clouds,-20.33,-40.29,Hotel Vitória Palace
