City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Nuuk,GL,64.18,-51.72,41.0,93,99,3.36,overcast clouds
299,Ende,ID,-8.84,121.66,75.06,67,48,3.53,scattered clouds
300,Valdivia,CL,-39.81,-73.25,46.4,100,90,1.12,light intensity shower rain
301,Ha Tinh,VN,18.33,105.9,81.12,77,68,7.07,broken clouds
302,Narrabri,AU,-30.32,149.78,41.0,80,90,3.36,overcast clouds
303,Dalby,AU,-27.18,151.27,37.0,61,0,7.0,clear sky
304,Komsomolskiy,UZ,40.43,71.72,77.0,38,0,9.17,clear sky
305,Matagami,CA,49.75,-77.63,66.2,52,1,6.08,clear sky
306,Kokopo,PG,-4.35,152.26,75.78,88,100,4.94,moderate rain
307,Rondonopolis,BR,-16.47,-54.64,101.53,19,8,1.9,clear sky
308,Canhotinho,BR,-8.88,-36.19,78.6,54,47,10.8,scattered clouds
309,Puri,IN,19.8,85.85,78.8,100,90,5.82,light rain
310,Machiques,VE,10.06,-72.55,86.49,63,76,2.8,broken clouds
311,Esperance,AU,-33.87,121.9,50.0,100,90,5.82,overcast clouds
312,Kapit,MY,2.02,112.93,74.1,93,96,0.16,overcast clouds
313,Maceio,BR,-9.67,-35.74,82.4,61,40,4.7,scattered clouds
314,Yinchuan,CN,38.47,106.27,65.79,71,0,9.26,clear sky
315,Yining,CN,29.04,114.56,77.36,82,0,2.15,clear sky
316,Castanos,MX,26.78,-101.42,91.99,51,20,8.84,few clouds
317,Hay River,CA,60.82,-115.8,57.2,76,75,6.93,broken clouds
318,Doha,QA,25.29,51.53,96.8,79,10,6.93,clear sky
319,Poum,NC,-20.23,164.02,72.03,81,82,13.65,broken clouds
320,Deputatskiy,RU,69.3,139.9,31.05,99,100,3.29,overcast clouds
321,Lewistown,US,40.6,-77.57,84.99,69,20,4.43,few clouds
322,Biak,ID,-0.91,122.88,74.37,69,1,6.06,clear sky
323,Gladstone,AU,-23.85,151.25,48.2,66,1,3.36,clear sky
324,Banjar,ID,-8.19,114.97,78.8,100,20,8.05,few clouds
325,Bontang,ID,0.13,117.5,77.59,85,9,6.49,clear sky
326,Rocha,UY,-34.48,-54.33,63.45,52,0,11.05,clear sky
327,Tibati,CM,6.47,12.63,69.13,93,98,4.65,light rain
328,Yulara,AU,-25.24,130.99,62.6,36,0,10.29,clear sky
